ENSG00000116254	ENSG00000116254
ENSG00000116497	ENSG00000116497
ENSG00000085465	ENSG00000085465
ENSG00000198952	ENSG00000198952
ENSG00000116703	ENSG00000116703
ENSG00000116703	ENSG00000136940
ENSG00000263528	ENSG00000263528
ENSG00000263528	ENSG00000183735
ENSG00000154370	ENSG00000154370
ENSG00000154370	ENSG00000278211
ENSG00000154370	ENSG00000184108
ENSG00000154370	ENSG00000204599
ENSG00000154370	ENSG00000239927
ENSG00000154370	ENSG00000185880
ENSG00000154370	ENSG00000146833
ENSG00000154370	ENSG00000132481
ENSG00000154370	ENSG00000141569
ENSG00000154370	ENSG00000204713
ENSG00000154370	ENSG00000167333
ENSG00000154370	ENSG00000204616
ENSG00000154370	ENSG00000137397
ENSG00000154370	ENSG00000233573
ENSG00000154370	ENSG00000181481
ENSG00000154370	ENSG00000137313
ENSG00000154370	ENSG00000121236
ENSG00000154370	ENSG00000179046
ENSG00000154370	ENSG00000132109
ENSG00000154370	ENSG00000258659
ENSG00000154370	ENSG00000132256
ENSG00000154370	ENSG00000132274
ENSG00000154370	ENSG00000112343
ENSG00000154370	ENSG00000121060
ENSG00000154370	ENSG00000116525
ENSG00000154370	ENSG00000146755
ENSG00000154370	ENSG00000119401
ENSG00000154370	ENSG00000101871
ENSG00000154370	ENSG00000152503
ENSG00000154370	ENSG00000100505
ENSG00000154370	ENSG00000106785
ENSG00000162711	ENSG00000162711
ENSG00000162711	ENSG00000174885
ENSG00000162711	ENSG00000022556
ENSG00000162711	ENSG00000185792
ENSG00000162711	ENSG00000160505
ENSG00000162711	ENSG00000167984
ENSG00000162711	ENSG00000179583
ENSG00000241058	ENSG00000241058
ENSG00000035403	ENSG00000035403
ENSG00000095585	ENSG00000095585
ENSG00000095585	ENSG00000043462
ENSG00000171206	ENSG00000171206
ENSG00000177697	ENSG00000177697
ENSG00000110756	ENSG00000110756
ENSG00000175224	ENSG00000175224
ENSG00000254772	ENSG00000254772
ENSG00000133884	ENSG00000133884
ENSG00000196914	ENSG00000196914
ENSG00000196914	ENSG00000132694
ENSG00000111667	ENSG00000111667
ENSG00000111667	ENSG00000058056
ENSG00000167528	ENSG00000167528
ENSG00000153179	ENSG00000153179
ENSG00000028203	ENSG00000028203
ENSG00000111229	ENSG00000111229
ENSG00000122966	ENSG00000122966
ENSG00000090612	ENSG00000090612
ENSG00000090612	ENSG00000066827
ENSG00000090612	ENSG00000085276
ENSG00000090612	ENSG00000142611
ENSG00000090612	ENSG00000148516
ENSG00000090612	ENSG00000169554
ENSG00000165801	ENSG00000165801
ENSG00000020577	ENSG00000020577
ENSG00000020577	ENSG00000179134
ENSG00000100721	ENSG00000100721
ENSG00000186297	ENSG00000186297
ENSG00000186297	ENSG00000145864
ENSG00000059145	ENSG00000059145
ENSG00000102931	ENSG00000102931
ENSG00000102908	ENSG00000102908
ENSG00000108963	ENSG00000108963
ENSG00000108963	ENSG00000132768
ENSG00000132530	ENSG00000132530
ENSG00000108961	ENSG00000108961
ENSG00000188522	ENSG00000188522
ENSG00000176749	ENSG00000176749
ENSG00000168259	ENSG00000168259
ENSG00000168259	ENSG00000102580
ENSG00000108433	ENSG00000108433
ENSG00000078687	ENSG00000078687
ENSG00000078687	ENSG00000090905
ENSG00000141655	ENSG00000141655
ENSG00000115268	ENSG00000115268
ENSG00000130377	ENSG00000130377
ENSG00000130377	ENSG00000103740
ENSG00000095059	ENSG00000095059
ENSG00000186838	ENSG00000186838
ENSG00000104936	ENSG00000104936
ENSG00000130529	ENSG00000130529
ENSG00000063245	ENSG00000063245
ENSG00000063245	ENSG00000072134
ENSG00000063245	ENSG00000113282
ENSG00000091106	ENSG00000091106
ENSG00000091106	ENSG00000106100
ENSG00000091106	ENSG00000167207
ENSG00000091106	ENSG00000278613
ENSG00000091106	ENSG00000249437
ENSG00000115464	ENSG00000115464
ENSG00000163013	ENSG00000163013
ENSG00000168658	ENSG00000168658
ENSG00000136717	ENSG00000136717
ENSG00000136717	ENSG00000078053
ENSG00000115233	ENSG00000115233
ENSG00000115233	ENSG00000121022
ENSG00000138448	ENSG00000138448
ENSG00000078018	ENSG00000078018
